t,ref,dist,PID_y,PID_u,Fuzzy_y,Fuzzy_u,DL_y,DL_u,QL_y,QL_u
0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0,0.04799999999999997,0.5999999999999996,0.04799999999999997,0.5999999999999996,0.04836147420283626,0.6045184275354533,0.068,0.85
2,0.0,0,0.07295999999999996,0.35999999999999976,0.08303979987492179,0.48599749843652257,0.09277826611518952,0.6035713731072521,0.11056,0.6
3,0.0,0,0.08862719999999996,0.2687999999999999,0.11242007434029377,0.4502932306920715,0.13437636919396245,0.6127545545998508,0.1497152,0.6
4,0.0,0,0.09701990399999996,0.19353599999999982,0.13994226701824972,0.4564474828147429,0.1745459069095774,0.6364955906391492,0.18573798400000002,0.6
5,0.0,0,0.10051043327999995,0.14065151999999984,0.16364358012236363,0.43620868081967357,0.21324220190919124,0.6582495944047503,0.21887894528000001,0.6
6,0.0,0,0.10066844712959995,0.1024856063999999,0.18424933958695883,0.4212155734298035,0.2501546116166424,0.6746473232523302,0.20936862965760003,0.1
7,0.0,0,0.09861760627507195,0.07503293644799992,0.20146454094551614,0.3994393565689251,0.2849996756934441,0.685717912576664,0.20061913928499203,0.1
8,0.0,0,0.09514776740757498,0.05524462043135994,0.21602350116619126,0.3834515437039551,0.3175851830830721,0.6923185180637942,0.19256960814219268,0.1
9,0.0,0,0.0908125613775126,0.04095769203179517,0.22727595664603528,0.3566791946642414,0.3478059334028283,0.695344562080024,0.22516403949081726,0.6
10,0.6,0,0.16354755646731162,1.0,0.25709388011435247,0.5999999999999996,0.3862512469021269,0.8283723521440612,0.2151509163315519,0.1
11,0.6,0,0.2304637519499267,1.0,0.301806016429159,0.8159955840494342,0.4244151754906452,0.8633003542586055,0.27793884302502775,1.0
12,0.6,0,0.29202665179393256,1.0,0.3414979954787834,0.797955754549464,0.4593314134210922,0.8608681496212319,0.3357037355830256,1.0
13,0.6,0,0.348664519650418,1.0,0.3785523403053652,0.8046773058110555,0.49093543455291244,0.8543816775688452,0.38884743673638356,1.0
14,0.6,0,0.4007713580783846,1.0,0.4129476779089901,0.8084940603506761,0.51892042537296,0.8407478198035071,0.4377396417974729,1.0
15,0.6,0,0.4487096494321139,1.0,0.4402469560639907,0.7541886548464973,0.54259105372,0.8148032797109604,0.47072047045367504,0.85
16,0.6,0,0.48855349375675605,0.9467577034901407,0.46373348067459136,0.7338285136964978,0.5609428842790529,0.7719889357081612,0.5010628328173811,0.85
17,0.6,0,0.5167383245274976,0.8408638783910249,0.4841319102990701,0.7187138509805759,0.5736803330028383,0.7201609933263696,0.5289778061919905,0.85
18,0.6,0,0.5372566602240925,0.7732175207349328,0.5017972166261786,0.7049482393879263,0.5819893344080229,0.6775428505676462,0.5546595816966313,0.85
19,0.6,0,0.5521792614593212,0.7237891756644504,0.5182352779951999,0.7072729837389445,0.5874166383149351,0.6498306332444241,0.5782868151609009,0.85
20,0.6,0,0.5630863211119894,0.6885175071176741,0.533438974932348,0.7082814897095522,0.5910531178168674,0.6328726320890883,0.6000238699480289,0.85
21,0.6,0,0.5710994979551716,0.6632510316517652,0.5462372022474086,0.693416816370604,0.5935535754948771,0.6223088387919875,0.6000219603521867,0.6
22,0.6,0,0.5770248429791519,0.6451663107549259,0.5552928534092517,0.6594328417704485,0.5953081156636286,0.6154853276042711,0.6000202035240119,0.6
23,0.6,0,0.5814406885881522,0.6322229130916549,0.5629762928897125,0.651335846915012,0.5965576353979636,0.6109271123428156,0.600018587242091,0.6
24,0.6,0,0.5847623596752511,0.622961577176888,0.5693238474888657,0.642320725379126,0.5974570390635872,0.6078001812182577,0.6000171002627238,0.6
25,0.6,0,0.587288319763147,0.6163368607739481,0.574583956051214,0.6350752045182203,0.5981094214079085,0.6056118183676035,0.600015732241706,0.6
